	Unnamed: 0	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
1643	1827	bn/cnn/03/cnn_0349	71	23	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I think the great bulk of them are very frankly managed and so forth.	honestly -> frankly	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
1502	1675	nw/xinhua/02/chtb_0249	67	7	China still believes in the path that it itself has specified.	China still believes in the way that it itself has specified.	path -> way	False	False	[[[0, 0], [8, 8], [7, 8]]]	[['China', 'itself', 'it itself']]	[[[0, 0], [7, 8]]]	[['China', 'it itself']]	[[[0, 0], [7, 8], [8, 8]]]	[['China', 'it itself', 'itself']]	100.0	33.33	33.33	100.0	{3, 6}	{3, 6}	True
1607	1791	bn/pri/00/pri_0079	69	82	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him spell in.	write -> spell	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him']]	29.72	50.0	50.0	29.72	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
55	61	mz/sinorama/10/ectb_1049	4	11	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping close lookout over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	watch -> lookout	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [24, 24]], [[9, 9], [14, 18]]]	[['Tanshui', 'Tanshui'], ['her', 'the giant beast of development']]	50.0	100.0	100.0	33.33	{6, 8, 10}	{8, 10, 6}	True
1531	1709	bn/pri/00/pri_0079	69	0	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is fulfill with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	filled -> fulfill	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
3705	4229	nw/wsj/23/wsj_2355	151	9	Mr. Thygerson said he had planned to travel between the job in Denver and his San Diego home, but has found the commute too difficult to continue.	Mr. Thygerson said he had planned to travel between the caper in Denver and his San Diego home, but has found the commute too difficult to continue.	job -> caper	True	False	[[[0, 1], [3, 3], [14, 14]]]	[['Mr. Thygerson', 'he', 'his']]	[[[0, 1], [3, 3], [14, 14]]]	[['Mr. Thygerson', 'he', 'his']]	[[[0, 1], [3, 3]], [[9, 10], [14, 14]]]	[['Mr. Thygerson', 'he'], ['the caper', 'his']]	100.0	100.0	50.0	33.33	{3, 6, 10, 14, 15}	{3, 6, 10, 14, 15}	True
1620	1804	bn/cnn/03/cnn_0349	71	0	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I opine the great bulk of them are very honestly managed and so forth.	think -> opine	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
447	505	bn/pri/00/pri_0009	20	41	The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for national endowment for the art.	The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for local endowment for the art.	national -> local	True	False	[[[18, 18], [0, 1], [14, 14]]]	[['his', 'The congressman', 'he']]	[[[0, 1], [14, 14], [18, 18]]]	[['The congressman', 'he', 'his']]	[[[0, 1], [14, 14], [18, 18]], [[11, 12], [29, 30]]]	[['The congressman', 'he', 'his'], ['the arts', 'the art']]	100.0	100.0	75.0	100.0	{10, 4, 7, 15}	{4, 7, 10, 15}	True
3913	4459	bn/abc/00/abc_0009	161	21	I urge Mr. Barak to lift the siege of Palestinians, to speak to the Palestinians as its neighbors because they are his neighbors.	I urge Mr. Barak to lift the siege of Palestinians, to verbalize to the Palestinians as its neighbors because they are his neighbors.	speak -> verbalize	False	False	[[[14, 15], [20, 20], [9, 9]], [[22, 22], [2, 3]]]	[['the Palestinians', 'they', 'Palestinians'], ['his', 'Mr. Barak']]	[[[2, 3], [22, 22]], [[6, 9], [17, 17], [20, 20]]]	[['Mr. Barak', 'his'], ['the siege of Palestinians', 'its', 'they']]	[[[2, 3], [22, 22]], [[6, 9], [17, 17]], [[14, 15], [20, 20]]]	[['Mr. Barak', 'his'], ['the siege of Palestinians', 'its'], ['the Palestinians', 'they']]	29.16	29.16	58.33	75.0	{8, 13, 12, 5}	{5, 8, 12, 13}	True
3385	3844	nw/xinhua/02/chtb_0289	139	41	The announcement clearly pointed out that goods violating intellectual property rights, including exclusive rights of trademarks, copyrights and patent rights, were not allowed to be imported or exported, when Customs discovers the import and export of goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights, it has the right to ask the people importing and exporting the goods to provide legal proof of use of related intellectual property rights and make additional reports to Customs about the state of the intellectual property rights of goods.	The announcement clearly pointed out that goods violating intellectual property rights, including exclusive rights of trademarks, copyrights and patent rights, were not allowed to be imported or exported; when Customs discovers the inconsequence and export of goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights, it has the right to ask the people importing and exporting the goods to provide legal proof of use of related intellectual property rights and make additional reports to Customs about the state of the intellectual property rights of goods.	import -> inconsequence	True	False	[[[33, 33], [59, 59], [88, 88]], [[40, 57], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights', 'the goods']]	[[[33, 33], [59, 59], [88, 88]], [[40, 57], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights', 'the goods']]	[[[33, 33], [59, 59], [88, 88]], [[40, 46], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights', 'the goods']]	100.0	100.0	62.5	62.5	{17, 18, 19, 4, 6, 8}	{17, 18, 19, 4, 6, 8}	True
1632	1816	bn/cnn/03/cnn_0349	71	12	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I think the large bulk of them are very honestly managed and so forth.	great -> large	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
3031	3431	nw/wsj/23/wsj_2377	122	76	Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter.	Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil thing.	matter -> thing	False	False	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]], [[28, 32], [23, 23]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth'], ['his taking of the Fifth', 'take']]	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]	[[[3, 5], [44, 46]], [[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]	[['a civil case', 'the civil thing'], ['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]	100.0	63.75	63.75	100.0	{4, 5, 6, 7, 10}	{4, 5, 6, 7, 10}	True
4712	5374	bn/pri/00/pri_0009	196	24	Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election.	Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to look him in congressional election.	face -> look	False	False	[[[23, 23], [0, 1], [29, 29]]]	[['he', 'Sidney Yates', 'him']]	[[[0, 1], [23, 23]], [[13, 14], [29, 29]]]	[['Sidney Yates', 'he'], ['Harry Truman', 'him']]	[[[0, 1], [23, 23], [29, 29]]]	[['Sidney Yates', 'he', 'him']]	50.0	33.33	16.66	25.0	{8, 4, 7}	{8, 4, 7}	True
1635	1819	bn/cnn/03/cnn_0349	71	15	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I think the keen bulk of them are very honestly managed and so forth.	great -> keen	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
1610	1794	bn/pri/00/pri_0079	69	85	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him compose in.	write -> compose	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him']]	29.72	50.0	50.0	29.72	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
1604	1788	bn/pri/00/pri_0079	69	79	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realness that the cadres would have him write in.	realism -> realness	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him']]	29.72	50.0	50.0	48.64	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
1581	1764	bn/pri/00/pri_0079	69	55	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in soupcon with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	touch -> soupcon	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him']]	29.72	50.0	50.0	48.64	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
1552	1734	bn/pri/00/pri_0079	69	25	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he trust in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	hopes -> trust	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
446	504	bn/pri/00/pri_0009	20	40	The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for national endowment for the art.	The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for internal endowment for the art.	national -> internal	True	False	[[[18, 18], [0, 1], [14, 14]]]	[['his', 'The congressman', 'he']]	[[[0, 1], [14, 14], [18, 18]]]	[['The congressman', 'he', 'his']]	[[[0, 1], [14, 14], [18, 18]], [[11, 12], [29, 30]]]	[['The congressman', 'he', 'his'], ['the arts', 'the art']]	100.0	100.0	75.0	100.0	{10, 4, 7, 15}	{4, 7, 10, 15}	True
1580	1763	bn/pri/00/pri_0079	69	54	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in signature with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	touch -> signature	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him']]	29.72	50.0	50.0	29.72	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
3077	3479	bn/pri/00/pri_0079	124	8	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his writing and his writing is initiative and foremost a celebration of freedom.	first -> initiative	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5]], [[5, 6], [8, 9]]]	[['His', 'his'], ['his writing', 'his writing']]	100.0	100.0	100.0	58.33	{4, 7}	{4, 7}	True
1633	1817	bn/cnn/03/cnn_0349	71	13	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I think the nifty bulk of them are very honestly managed and so forth.	great -> nifty	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
2178	2474	mz/sinorama/10/ectb_1009	92	27	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest concentration of Taiwan firms in the PRC.	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted household, which boasts the largest concentration of Taiwan firms in the PRC.	home -> household	False	False	[[[17, 17], [30, 30], [11, 11]], [[17, 18], [20, 20]], [[20, 22], [15, 15]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their'], ['their adopted home', 'Dongguan']]	[[[11, 11], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	[[[11, 11], [17, 17], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	100.0	32.5	58.33	100.0	{4, 6, 11}	{4, 6, 11}	True
50	56	mz/sinorama/10/ectb_1049	4	6	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping tightlipped watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	close -> tightlipped	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [14, 18], [24, 24]]]	[['Tanshui', 'the giant beast of development', 'Tanshui']]	50.0	100.0	100.0	50.0	{6, 8, 10}	{6, 8, 10}	True
4340	4922	bn/pri/00/pri_0079	182	1	I think he has published about 18 plays now and he writes his plays in French.	I conceive he has published about 18 plays now and he writes his plays in French.	think -> conceive	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10]]]	[['he', 'he']]	33.33	33.33	100.0	33.33	{4, 7, 8}	{4, 7, 8}	True
1497	1670	nw/xinhua/02/chtb_0249	67	2	China still believes in the path that it itself has specified.	China nonetheless believes in the path that it itself has specified.	still -> nonetheless	False	False	[[[0, 0], [8, 8], [7, 8]]]	[['China', 'itself', 'it itself']]	[[[0, 0], [7, 8]]]	[['China', 'it itself']]	[[[0, 0], [7, 8], [8, 8]]]	[['China', 'it itself', 'itself']]	100.0	33.33	33.33	100.0	{3, 6}	{3, 6}	True
1628	1812	bn/cnn/03/cnn_0349	71	8	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I suppose the great bulk of them are very honestly managed and so forth.	think -> suppose	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
1142	1265	bn/nbc/00/nbc_0029	52	2	I want everybody who tried to vote who legally voted to have their vote count, including service people.	I require everybody who tried to vote who legally voted to have their vote count, including service people.	want -> require	False	False	[[[12, 12], [2, 9]]]	[['their', 'everybody who tried to vote who legally voted']]	[[[2, 18], [12, 12]]]	[['everybody who tried to vote who legally voted to have their vote count, including service people', 'their']]	[[[2, 9], [12, 12]]]	[['everybody who tried to vote who legally voted', 'their']]	0.0	0.0	0.0	0.0	{17, 5}	{17, 5}	True
1625	1809	bn/cnn/03/cnn_0349	71	5	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I intend the great bulk of them are very honestly managed and so forth.	think -> intend	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
1548	1730	bn/pri/00/pri_0079	69	21	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mint on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	mountain -> mint	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
