	Unnamed: 0	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
677	751	nw/xinhua/00/chtb_0079	30	32	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the scope of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the orbit of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	scope -> orbit	False	False	[[[3, 6], [30, 30]]]	[['the State Taxation Administration', 'their']]	[[[14, 18], [30, 30]], [[17, 17], [42, 42]]]	[['foreign business investment BOT projects', 'their'], ['BOT', 'BOT']]	[[[14, 18], [30, 30]]]	[['foreign business investment BOT projects', 'their']]	0.0	0.0	50.0	25.0	{8, 7}	{8, 7}	True
2487	2817	mz/sinorama/10/ectb_1029	104	13	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample preparation, the usefulness of such a fever chip is still limited, so that it can not yet be widely promoted.	However, Pan points out that because of the difficulties in substantially reducing the clip needed for sample preparation, the usefulness of such a fever chip is still limited, so that it cannot yet be widely promoted.	time -> clip	False	False	[[[33, 33], [23, 26]]]	[['it', 'such a fever chip']]	[[[20, 26], [33, 33]]]	[['the usefulness of such a fever chip', 'it']]	[[[23, 26], [33, 33]]]	[['such a fever chip', 'it']]	0.0	0.0	0.0	0.0	{8, 9, 7}	{8, 9, 7}	True
2368	2675	nw/wsj/23/wsj_2331	100	0	Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co., also said they saw no effect.	Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co., too said they saw no effect.	also -> too	False	False	[[[0, 17], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc. , as well as at Saatchi client Philips Lighting Co. ,', 'they']]	[[[0, 16], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co.', 'they']]	[[[0, 18], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co., too', 'they']]	0.0	0.0	0.0	0.0	{4, 6}	{4, 6}	True
2189	2485	mz/sinorama/10/ectb_1009	92	38	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest concentration of Taiwan firms in the PRC.	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest denseness of Taiwan firms in the PRC.	concentration -> denseness	False	False	[[[17, 17], [30, 30], [11, 11]], [[17, 18], [20, 20]], [[20, 22], [15, 15]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their'], ['their adopted home', 'Dongguan']]	[[[11, 11], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	[[[11, 11], [17, 17], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	100.0	32.5	58.33	100.0	{4, 6, 11}	{4, 6, 11}	True
1645	1829	bn/nbc/00/nbc_0019	72	1	Republican leaders for their part said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	Republican leaders for their component said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	part -> component	True	False	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 4], [3, 3]]]	[['Republican leaders for their component', 'their']]	100.0	100.0	0.0	0.0	{5, 6}	{5, 6}	True
2485	2815	mz/sinorama/10/ectb_1029	104	11	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample preparation, the usefulness of such a fever chip is still limited, so that it can not yet be widely promoted.	However, Pan points out that because of the difficulties in substantially reducing the meter needed for sample preparation, the usefulness of such a fever chip is still limited, so that it cannot yet be widely promoted.	time -> meter	False	False	[[[33, 33], [23, 26]]]	[['it', 'such a fever chip']]	[[[20, 26], [33, 33]]]	[['the usefulness of such a fever chip', 'it']]	[[[23, 26], [33, 33]]]	[['such a fever chip', 'it']]	0.0	0.0	0.0	0.0	{8, 9, 7}	{8, 9, 7}	True
4344	4928	bn/pri/00/pri_0079	182	7	I think he has published about 18 plays now and he writes his plays in French.	I consider he has published about 18 plays now and he writes his plays in French.	think -> consider	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10]]]	[['he', 'he']]	33.33	33.33	100.0	33.33	{4, 7, 8}	{4, 7, 8}	True
2194	2490	mz/sinorama/10/ectb_1009	92	43	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest concentration of Taiwan firms in the PRC.	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest engrossment of Taiwan firms in the PRC.	concentration -> engrossment	False	False	[[[17, 17], [30, 30], [11, 11]], [[17, 18], [20, 20]], [[20, 22], [15, 15]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their'], ['their adopted home', 'Dongguan']]	[[[11, 11], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	[[[11, 11], [17, 17], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	100.0	32.5	58.33	100.0	{4, 6, 11}	{4, 6, 11}	True
1630	1814	bn/cnn/03/cnn_0349	71	10	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I believe the great bulk of them are very honestly managed and so forth.	think -> believe	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
161	175	bn/mnb/00/mnb_0019	6	39	It was very stern, very direct and it left no question, I think, in the minds of anybody that this court unanimously believes that certification should include the manual recount, and that is a clear victory for Vice President Al Gore.	It was very stern, very direct and it left no question, I think, in the minds of anybody that this homage unanimously believes that certification should include the manual recount, and that is a clear victory for Vice President Al Gore.	court -> homage	False	False	[[[35, 35], [29, 29]], [[8, 8], [0, 0]]]	[['that', 'include'], ['it', 'It']]	[[[0, 0], [8, 8]]]	[['It', 'it']]	[[[0, 0], [8, 8], [22, 23]]]	[['It', 'it', 'this homage']]	50.0	25.0	33.33	100.0	{8, 4}	{8, 4}	True
1553	1735	bn/pri/00/pri_0079	69	26	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hop in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	hopes -> hop	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
1608	1792	bn/pri/00/pri_0079	69	83	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him pen in.	write -> pen	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
681	755	nw/xinhua/00/chtb_0079	30	36	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the scope of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the oscilloscope of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	scope -> oscilloscope	False	False	[[[3, 6], [30, 30]]]	[['the State Taxation Administration', 'their']]	[[[14, 18], [30, 30]], [[17, 17], [42, 42]]]	[['foreign business investment BOT projects', 'their'], ['BOT', 'BOT']]	[[[14, 18], [30, 30]]]	[['foreign business investment BOT projects', 'their']]	0.0	0.0	50.0	25.0	{8, 7}	{8, 7}	True
1644	1828	bn/nbc/00/nbc_0019	72	0	Republican leaders for their part said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	Republican leaders for their function said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	part -> function	True	False	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 4], [3, 3]]]	[['Republican leaders for their function', 'their']]	100.0	100.0	0.0	0.0	{5, 6}	{5, 6}	True
1556	1738	bn/pri/00/pri_0079	69	29	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he despair in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	hopes -> despair	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
678	752	nw/xinhua/00/chtb_0079	30	33	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the scope of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the range of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	scope -> range	False	False	[[[3, 6], [30, 30]]]	[['the State Taxation Administration', 'their']]	[[[14, 18], [30, 30]], [[17, 17], [42, 42]]]	[['foreign business investment BOT projects', 'their'], ['BOT', 'BOT']]	[[[14, 18], [30, 30]]]	[['foreign business investment BOT projects', 'their']]	0.0	0.0	50.0	25.0	{8, 7}	{8, 7}	True
2970	3367	nw/wsj/23/wsj_2377	122	12	Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter.	Thus, in a civil causa, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter.	case -> causa	False	False	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]], [[28, 32], [23, 23]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth'], ['his taking of the Fifth', 'take']]	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]	[[[3, 5], [44, 46]], [[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]	[['a civil causa', 'the civil matter'], ['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]	100.0	63.75	63.75	100.0	{4, 5, 6, 7, 10}	{4, 5, 6, 7, 10}	True
2503	2838	mz/sinorama/10/ectb_1029	104	34	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample preparation, the usefulness of such a fever chip is still limited, so that it can not yet be widely promoted.	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample preparation, the usefulness of such a fever chip is still limited, so that it cannot nevertheless be widely promoted.	yet -> nevertheless	False	False	[[[33, 33], [23, 26]]]	[['it', 'such a fever chip']]	[[[20, 26], [33, 33]]]	[['the usefulness of such a fever chip', 'it']]	[[[23, 26], [33, 33]]]	[['such a fever chip', 'it']]	0.0	0.0	0.0	0.0	{8, 9, 7}	{8, 9, 7}	True
2327	2629	mz/sinorama/10/ectb_1009	98	17	Taiwanese business people here run their factories like they drive their cars, in high gear.	Taiwanese business people here ply their factories like they drive their cars, in high gear.	run -> ply	False	False	[[[5, 5], [10, 10], [0, 3], [8, 8]]]	[['their', 'their', 'Taiwanese business people here', 'they']]	[[[5, 5], [8, 8], [10, 10]]]	[['their', 'they', 'their']]	[[[5, 5], [8, 8]]]	[['their', 'they']]	100.0	50.0	100.0	33.33	{4, 6, 7}	{4, 6, 7}	True
1605	1789	bn/pri/00/pri_0079	69	80	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him indite in.	write -> indite	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
675	749	nw/xinhua/00/chtb_0079	30	30	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the scope of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the reach of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	scope -> reach	False	False	[[[3, 6], [30, 30]]]	[['the State Taxation Administration', 'their']]	[[[14, 18], [30, 30]], [[17, 17], [42, 42]]]	[['foreign business investment BOT projects', 'their'], ['BOT', 'BOT']]	[[[14, 18], [30, 30]]]	[['foreign business investment BOT projects', 'their']]	0.0	0.0	50.0	25.0	{8, 7}	{8, 7}	True
1637	1821	bn/cnn/03/cnn_0349	71	17	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I think the great mass of them are very honestly managed and so forth.	bulk -> mass	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
48	54	mz/sinorama/10/ectb_1049	4	4	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping airless watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	close -> airless	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [14, 18], [24, 24]]]	[['Tanshui', 'the giant beast of development', 'Tanshui']]	50.0	100.0	100.0	50.0	{6, 8, 10}	{6, 8, 10}	True
4692	5353	bn/pri/00/pri_0009	196	3	Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election.	Sidney Yates was first elected to the U.S.A. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election.	U.S. -> U.S.A.	False	False	[[[23, 23], [0, 1], [29, 29]]]	[['he', 'Sidney Yates', 'him']]	[[[0, 1], [23, 23]], [[13, 14], [29, 29]]]	[['Sidney Yates', 'he'], ['Harry Truman', 'him']]	[[[13, 14], [23, 23], [29, 29]]]	[['Harry Truman', 'he', 'him']]	50.0	33.33	16.66	25.0	{8, 4, 7}	{8, 4, 7}	True
1078	1183	nw/xinhua/00/chtb_0089	49	12	Enterprises whose system is changed in this form can enjoy preferential policies, such as income taxes being returned when they exceed the base, temporarily not levying business tax on fixed assets, etc.	Enterprises whose system is changed in this var. can enjoy preferential policies, such as income taxes being returned when they exceed the base, temporarily not levying business tax on fixed assets, etc.	form -> var.	True	False	[[[15, 16], [20, 20]]]	[['income taxes', 'they']]	[[[15, 16], [20, 20]]]	[['income taxes', 'they']]	[[[16, 17], [21, 21]]]	[['income taxes', 'they']]	100.0	100.0	0.0	0.0	{8, 12}	{8, 12}	True
4714	5376	bn/pri/00/pri_0009	196	26	Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election.	Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to back him in congressional election.	face -> back	False	False	[[[23, 23], [0, 1], [29, 29]]]	[['he', 'Sidney Yates', 'him']]	[[[0, 1], [23, 23]], [[13, 14], [29, 29]]]	[['Sidney Yates', 'he'], ['Harry Truman', 'him']]	[[[0, 1], [23, 23], [29, 29]]]	[['Sidney Yates', 'he', 'him']]	50.0	33.33	16.66	25.0	{8, 4, 7}	{8, 4, 7}	True
1595	1778	bn/pri/00/pri_0079	69	69	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of person being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	soul -> person	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
4346	4930	bn/pri/00/pri_0079	182	9	I think he has published about 18 plays now and he writes his plays in French.	I recollect he has published about 18 plays now and he writes his plays in French.	think -> recollect	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10]]]	[['he', 'he']]	33.33	33.33	100.0	33.33	{4, 7, 8}	{4, 7, 8}	True
2165	2451	mz/sinorama/10/ectb_1009	92	4	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest concentration of Taiwan firms in the PRC.	With 27 departures a day, these jitney run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest concentration of Taiwan firms in the PRC.	buses -> jitney	False	False	[[[17, 17], [30, 30], [11, 11]], [[17, 18], [20, 20]], [[20, 22], [15, 15]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their'], ['their adopted home', 'Dongguan']]	[[[11, 11], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	[[[11, 11], [17, 17], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	100.0	32.5	58.33	100.0	{4, 6, 11}	{4, 6, 11}	True
78	87	mz/sinorama/10/ectb_1049	4	37	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually occur and bulldoze Tanshui away one piece of land at a time.	come -> occur	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [9, 9], [24, 24]]]	[['Tanshui', 'her', 'Tanshui']]	50.0	100.0	100.0	50.0	{6, 8, 10}	{6, 8, 10}	True
1649	1833	bn/nbc/00/nbc_0019	72	5	Republican leaders for their part said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	Republican leaders for their portion said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	part -> portion	True	False	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 4], [3, 3]]]	[['Republican leaders for their portion', 'their']]	100.0	100.0	0.0	0.0	{5, 6}	{5, 6}	True
1626	1810	bn/cnn/03/cnn_0349	71	6	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I recall the great bulk of them are very honestly managed and so forth.	think -> recall	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
44	50	mz/sinorama/10/ectb_1049	4	0	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping unaired watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	close -> unaired	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [14, 18], [24, 24]]]	[['Tanshui', 'the giant beast of development', 'Tanshui']]	50.0	100.0	100.0	50.0	{6, 8, 10}	{6, 8, 10}	True
45	51	mz/sinorama/10/ectb_1049	4	1	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping closelipped watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	close -> closelipped	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [14, 18], [24, 24]]]	[['Tanshui', 'the giant beast of development', 'Tanshui']]	50.0	100.0	100.0	50.0	{6, 8, 10}	{6, 8, 10}	True
1623	1807	bn/cnn/03/cnn_0349	71	3	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I forget the great bulk of them are very honestly managed and so forth.	think -> forget	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
