	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
6692	nw/wsj/23/wsj_2377	130	69	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain application to protect the defendant in criminal matters only.	language -> application	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
2354	bn/abc/00/abc_0009	51	53	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this moment, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> moment	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
6204	bn/pri/00/pri_0079	124	78	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his writing and his creation is first and foremost a celebration of freedom.	writing -> creation	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
5146	mz/sinorama/10/ectb_1069	103	57	Their candles are burning at both ends, because they are trying to live up to two old role models rather than establishing a new one for themselves.	Their candles are burning at both men, because they are trying to live up to two old role models rather than establishing a new one for themselves.	ends -> men	True	False	[[[27, 27], [9, 9], [0, 0]]]	[['themselves', 'they', 'Their']]	[[[0, 0], [9, 9], [27, 27]]]	[['Their', 'they', 'themselves']]	[[[5, 6], [9, 9], [27, 27]]]	[['both men', 'they', 'themselves']]	100.0	100.0	33.33	33.33	{3, 12, 7}	{12, 6, 7}	False
2373	bn/abc/00/abc_0009	51	72	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this order, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> order	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
5591	bn/cnn/03/cnn_0379	110	25	She is asking anyone who finds the pair to give them back.	She is asking anyone who finds the boat to give them back.	pair -> boat	True	False	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[3, 7], [10, 10]]]	[['anyone who finds the boat', 'them']]	100.0	100.0	0.0	0.0	{9, 13}	{13, 6}	False
8669	bn/voa/01/voa_0189	181	68	Violence between Israelis and Palestinians continued in its third month, though at a slightly reduced level overall.	Violence between Israelis and Palestinians continued in its third district, though at a slightly reduced level overall.	month -> district	True	False	[[[7, 7], [0, 4]]]	[['its', 'Violence between Israelis and Palestinians']]	[[[0, 4], [7, 7]]]	[['Violence between Israelis and Palestinians', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{4, 5}	set()	False
3462	bn/voa/01/voa_0179	73	198	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power suppliers in the West to keep sending their surplus distribution to California.	electricity -> distribution	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
5588	bn/cnn/03/cnn_0379	110	22	She is asking anyone who finds the pair to give them back.	She is asking anyone who finds the house to give them back.	pair -> house	True	False	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[3, 7], [10, 10]]]	[['anyone who finds the house', 'them']]	100.0	100.0	0.0	0.0	{9, 13}	{13, 6}	False
3194	nw/xinhua/02/chtb_0249	67	28	China still believes in the path that it itself has specified.	China still believes in the form that it itself has specified.	path -> form	False	False	[[[0, 0], [8, 8], [7, 8]]]	[['China', 'itself', 'it itself']]	[[[0, 0], [7, 8]]]	[['China', 'it itself']]	[[[0, 0], [7, 8], [8, 8]]]	[['China', 'it itself', 'itself']]	100.0	33.33	33.33	100.0	{3, 6}	{3, 6}	True
8866	bn/nbc/00/nbc_0029	186	26	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and Al Gore and their war rooms all their time, this really comes down to a numbers game.	advisers -> time	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both George Bush and Al Gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{5, 6}	True
2906	bn/voa/00/voa_0049	57	121	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its shape in the world.	kind -> shape	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
8157	mz/sinorama/10/ectb_1009	171	21	Each arrival seemed to bring many more on its heels.	Each arrival held to bring many more on its heels.	seemed -> held	True	False	[[[8, 8], [0, 1]]]	[['its', 'Each arrival']]	[[[0, 1], [8, 8]]]	[['Each arrival', 'its']]	[[[5, 6], [8, 8]]]	[['many more', 'its']]	100.0	100.0	0.0	0.0	{8, 3}	{8, 7}	False
6704	nw/wsj/23/wsj_2377	130	81	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain promise to protect the defendant in criminal matters only.	language -> promise	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
6219	bn/pri/00/pri_0079	124	93	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his writing and his tradition is first and foremost a celebration of freedom.	writing -> tradition	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
2369	bn/abc/00/abc_0009	51	68	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this city, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> city	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
5595	bn/cnn/03/cnn_0379	110	29	She is asking anyone who finds the pair to give them back.	She is asking anyone who finds the ring to give them back.	pair -> ring	True	False	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[]	[]	100.0	100.0	0.0	0.0	{9, 13}	set()	False
6006	nw/wsj/23/wsj_2368	119	148	And even if a nurse would wear flowers in her hair while on duty, if she were engaged she would know to wear them behind her left, not right, ear.	And even if a nurse would wear flowers in her hair while on location, if she were engaged she would know to wear them behind her left, not right, ear.	duty -> location	False	False	[[[24, 24], [7, 7]], [[9, 9], [3, 4], [16, 16], [19, 19], [26, 26]]]	[['them', 'flowers'], ['her', 'a nurse', 'she', 'she', 'her']]	[[[3, 4], [9, 9], [16, 16], [19, 19], [26, 26]]]	[['a nurse', 'her', 'she', 'she', 'her']]	[[[3, 4], [9, 9], [16, 16], [19, 19], [26, 26]], [[7, 7], [24, 24]]]	[['a nurse', 'her', 'she', 'she', 'her'], ['flowers', 'them']]	50.0	45.45	90.9	100.0	{3, 5, 9}	{3, 5, 8, 9}	False
8893	bn/nbc/00/nbc_0029	186	53	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and Al Gore and their war rooms all their experience, this really comes down to a numbers game.	advisers -> experience	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both George Bush and Al Gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{5, 6}	True
3453	bn/voa/01/voa_0179	73	189	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power suppliers in the West to keep sending their surplus projects to California.	electricity -> projects	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
3395	bn/voa/01/voa_0179	73	131	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power suppliers in the West to study sending their surplus electricity to California.	keep -> study	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
3753	bn/cnn/03/cnn_0339	84	81	Maybe before the weapon and then later he said, Oh, I should have got the nuclear weapon before I invaded.	Maybe before the weapon and then later he said, Oh, I should have said the nuclear weapon before I invaded.	got -> said	False	False	[[[12, 12], [20, 20], [7, 7]], [[16, 18], [2, 3]]]	[['I', 'I', 'he'], ['the nuclear weapon', 'the weapon']]	[[[7, 7], [12, 12], [20, 20]]]	[['he', 'I', 'I']]	[[[2, 3], [16, 18]], [[7, 7], [12, 12], [20, 20]]]	[['the weapon', 'the nuclear weapon'], ['he', 'I', 'I']]	50.0	37.5	75.0	100.0	{3, 4, 5, 6, 8, 10}	{3, 4, 5, 6, 8, 10}	True
6068	nw/wsj/23/wsj_2368	119	210	And even if a nurse would wear flowers in her hair while on duty, if she were engaged she would know to wear them behind her left, not right, ear.	And even if a nurse would wear flowers in her hair while on duty, if she were engaged she would know to bring them behind her left, not right, ear.	wear -> bring	False	False	[[[24, 24], [7, 7]], [[9, 9], [3, 4], [16, 16], [19, 19], [26, 26]]]	[['them', 'flowers'], ['her', 'a nurse', 'she', 'she', 'her']]	[[[3, 4], [9, 9], [16, 16], [19, 19], [26, 26]]]	[['a nurse', 'her', 'she', 'she', 'her']]	[[[3, 4], [9, 9], [16, 16], [19, 19], [26, 26]], [[7, 7], [24, 24]]]	[['a nurse', 'her', 'she', 'she', 'her'], ['flowers', 'them']]	50.0	45.45	90.9	100.0	{3, 5, 9}	{3, 5, 8, 9}	False
3741	bn/cnn/03/cnn_0339	84	69	Maybe before the weapon and then later he said, Oh, I should have got the nuclear weapon before I invaded.	Maybe before the weapon and then later he said, Oh, I should have allowed the nuclear weapon before I invaded.	got -> allowed	False	False	[[[12, 12], [20, 20], [7, 7]], [[16, 18], [2, 3]]]	[['I', 'I', 'he'], ['the nuclear weapon', 'the weapon']]	[[[7, 7], [12, 12], [20, 20]]]	[['he', 'I', 'I']]	[[[2, 3], [16, 18]], [[7, 7], [12, 12], [20, 20]]]	[['the weapon', 'the nuclear weapon'], ['he', 'I', 'I']]	50.0	37.5	75.0	100.0	{3, 4, 5, 6, 8, 10}	{3, 4, 5, 6, 8, 10}	True
3174	nw/xinhua/02/chtb_0249	67	8	China still believes in the path that it itself has specified.	China still left in the path that it itself has specified.	believes -> left	False	False	[[[0, 0], [8, 8], [7, 8]]]	[['China', 'itself', 'it itself']]	[[[0, 0], [7, 8]]]	[['China', 'it itself']]	[[[0, 0], [7, 8], [8, 8]]]	[['China', 'it itself', 'itself']]	100.0	33.33	33.33	100.0	{3, 6}	{3, 6}	True
2586	bn/nbc/00/nbc_0029	52	155	I want everybody who tried to vote who legally voted to have their vote count, including service people.	I want everybody who tried to vote who legally voted to have their vote count, including service hours.	people -> hours	False	False	[[[12, 12], [2, 9]]]	[['their', 'everybody who tried to vote who legally voted']]	[[[2, 18], [12, 12]]]	[['everybody who tried to vote who legally voted to have their vote count, including service people', 'their']]	[[[2, 9], [12, 12]]]	[['everybody who tried to vote who legally voted', 'their']]	0.0	0.0	0.0	0.0	{17, 5}	{17, 5}	True
6214	bn/pri/00/pri_0079	124	88	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his writing and his making is first and foremost a celebration of freedom.	writing -> making	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
8044	mz/sinorama/10/ectb_1069	170	14	Social bias makes many of the middle aged afraid to discuss their problems.	Social bias makes many of the deaf aged afraid to discuss their problems.	middle -> deaf	True	False	[[[3, 7], [11, 11]]]	[['many of the middle aged', 'their']]	[[[3, 7], [11, 11]]]	[['many of the middle aged', 'their']]	[[[5, 7], [11, 11]]]	[['the deaf aged', 'their']]	100.0	100.0	0.0	0.0	{4, 7}	{7}	False
8884	bn/nbc/00/nbc_0029	186	44	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and Al Gore and their war rooms all their stuff, this really comes down to a numbers game.	advisers -> stuff	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both George Bush and Al Gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{5, 6}	True
1956	bn/cnn/03/cnn_0389	36	13	This is a guy whose world revolves not so much around music as around his wife.	This is a story whose world revolves not so much around music as around his wife.	guy -> story	True	False	[[[14, 14], [0, 0]]]	[['his', 'This']]	[[[0, 0], [14, 14]]]	[['This', 'his']]	[]	[]	100.0	100.0	0.0	0.0	{10, 3}	set()	False
8161	mz/sinorama/10/ectb_1009	171	25	Each arrival seemed to bring many more on its heels.	Each arrival tried to bring many more on its heels.	seemed -> tried	True	False	[[[8, 8], [0, 1]]]	[['its', 'Each arrival']]	[[[0, 1], [8, 8]]]	[['Each arrival', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{8, 3}	set()	False
6123	nw/wsj/23/wsj_2377	120	19	Individuals can always have their hands slapped.	Individuals can always have their parents slapped.	hands -> parents	True	False	[[[0, 0], [4, 4]]]	[['Individuals', 'their']]	[[[0, 0], [4, 4]]]	[['Individuals', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{3, 6}	set()	False
6061	nw/wsj/23/wsj_2368	119	203	And even if a nurse would wear flowers in her hair while on duty, if she were engaged she would know to wear them behind her left, not right, ear.	And even if a nurse would wear flowers in her hair while on duty, if she were engaged she would know to keep them behind her left, not right, ear.	wear -> keep	False	False	[[[24, 24], [7, 7]], [[9, 9], [3, 4], [16, 16], [19, 19], [26, 26]]]	[['them', 'flowers'], ['her', 'a nurse', 'she', 'she', 'her']]	[[[3, 4], [9, 9], [16, 16], [19, 19], [26, 26]]]	[['a nurse', 'her', 'she', 'she', 'her']]	[[[3, 4], [9, 9], [16, 16], [19, 19], [26, 26]], [[7, 7], [24, 24]]]	[['a nurse', 'her', 'she', 'she', 'her'], ['flowers', 'them']]	50.0	45.45	90.9	100.0	{3, 5, 9}	{3, 5, 8, 9}	False
6752	nw/wsj/23/wsj_2377	130	129	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain language to protect the church in criminal matters only.	defendant -> church	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
8814	bn/pri/00/pri_0079	182	81	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his stuff in French.	plays -> stuff	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10]]]	[['he', 'he']]	33.33	33.33	100.0	33.33	{4, 7, 8}	{4, 7, 8}	True
8818	bn/pri/00/pri_0079	182	85	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his movies in French.	plays -> movies	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
6166	bn/pri/00/pri_0079	124	40	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his eyes and his writing is first and foremost a celebration of freedom.	writing -> eyes	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
6194	bn/pri/00/pri_0079	124	68	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his writing and his show is first and foremost a celebration of freedom.	writing -> show	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
8949	bn/nbc/00/nbc_0029	186	109	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers inc.	game -> inc	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both George Bush and Al Gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{5, 6}	True
354	nw/wsj/23/wsj_2372	10	164	The Senate also dropped a plan by its Finance Committee that would have increased the income threshold beyond which senior citizens have their Social Security benefits reduced.	The Senate also dropped a plan by its Finance Committee that would have increased the income threshold beyond which overseas citizens have their Social Security benefits reduced.	senior -> overseas	True	False	[[[22, 22], [19, 20]], [[7, 7], [0, 1]]]	[['their', 'senior citizens'], ['its', 'The Senate']]	[[[0, 1], [7, 7]], [[19, 20], [22, 22]]]	[['The Senate', 'its'], ['senior citizens', 'their']]	[[[0, 1], [7, 7]]]	[['The Senate', 'its']]	100.0	100.0	50.0	25.0	{16, 3, 6, 14}	{16, 3, 6}	False
3313	bn/voa/01/voa_0179	73	49	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the old order will require power suppliers in the West to keep sending their surplus electricity to California.	federal -> old	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
1382	mz/sinorama/10/ectb_1069	27	9	Middle age and the changes it brings are like a revolving door.	Middle everything and the changes it brings are like a revolving door.	age -> everything	True	False	[[[5, 5], [0, 1]]]	[['it', 'Middle age']]	[[[0, 1], [5, 5]]]	[['Middle age', 'it']]	[[[3, 6], [5, 5]]]	[['the changes it brings', 'it']]	100.0	100.0	0.0	0.0	{4, 7}	{5, 7}	False
6703	nw/wsj/23/wsj_2377	130	80	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain right to protect the defendant in criminal matters only.	language -> right	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
5031	bn/pri/00/pri_0029	101	125	He has invested an awful amount in the peace with Israel, and really he can not afford to let it fail.	He has invested an awful amount in the peace with Israel, and even he cannot afford to let it fail.	really -> even	True	False	[[[20, 20], [7, 10]], [[0, 0], [14, 14]]]	[['it', 'the peace with Israel'], ['He', 'he']]	[[[0, 0], [14, 14]], [[7, 10], [20, 20]]]	[['He', 'he'], ['the peace with Israel', 'it']]	[[[0, 0], [13, 14]], [[7, 10], [20, 20]]]	[['He', 'even he'], ['the peace with Israel', 'it']]	100.0	100.0	50.0	50.0	{8, 10, 4, 6}	{8, 10, 4, 6}	True
8825	bn/pri/00/pri_0079	182	92	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his reviews in French.	plays -> reviews	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	33.33	33.33	33.33	33.33	{4, 7, 8}	{4, 5, 7, 8}	False
2593	bn/nbc/00/nbc_0029	52	162	I want everybody who tried to vote who legally voted to have their vote count, including service people.	I want everybody who tried to vote who legally voted to have their vote count, including service time.	people -> time	False	False	[[[12, 12], [2, 9]]]	[['their', 'everybody who tried to vote who legally voted']]	[[[2, 18], [12, 12]]]	[['everybody who tried to vote who legally voted to have their vote count, including service people', 'their']]	[[[2, 9], [12, 12]]]	[['everybody who tried to vote who legally voted', 'their']]	0.0	0.0	0.0	0.0	{17, 5}	{17, 5}	True
3176	nw/xinhua/02/chtb_0249	67	10	China still believes in the path that it itself has specified.	China still remain in the path that it itself has specified.	believes -> remain	False	False	[[[0, 0], [8, 8], [7, 8]]]	[['China', 'itself', 'it itself']]	[[[0, 0], [7, 8]]]	[['China', 'it itself']]	[[[0, 0], [7, 8], [8, 8]]]	[['China', 'it itself', 'itself']]	100.0	33.33	33.33	100.0	{3, 6}	{3, 6}	True
8152	mz/sinorama/10/ectb_1009	171	16	Each arrival seemed to bring many more on its heels.	Each arrival found to bring many more on its heels.	seemed -> found	True	False	[[[8, 8], [0, 1]]]	[['its', 'Each arrival']]	[[[0, 1], [8, 8]]]	[['Each arrival', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{8, 3}	set()	False
3318	bn/voa/01/voa_0179	73	54	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal circuit will require power suppliers in the West to keep sending their surplus electricity to California.	order -> circuit	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
6707	nw/wsj/23/wsj_2377	130	84	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain proposition to protect the defendant in criminal matters only.	language -> proposition	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
